time,quad x,quad y,quad z,kftag x,kftag y,kftag z,tag x,tag y,tag z,true tag x,true tag y,/qe0_position,/qe1_position,/qe2_position,/qe3_position,/qe4_position,/qe5_position,/qe6_position,/qe7_position
1.55027437210083,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.6002349853515625,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.6502575874328613,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.7002427577972412,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.7503139972686768,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.8003406524658203,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.8502607345581055,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.900261402130127,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1.9503154754638672,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.0003345012664795,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.052743434906006,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.1002414226531982,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.1502482891082764,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.200275421142578,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.250220775604248,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.300259828567505,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.3502469062805176,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.4002795219421387,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.450251579284668,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.500223159790039,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.550280809402466,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.60020112991333,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.6502225399017334,,,,,,,,,,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2.700258255004883,,,,,,,2.6251104020750873,-8.679051308604697,-29.333133008358665,,,"[None, None, None]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, -29.333133008358665]"
2.7502970695495605,,,,,,,2.8425296090644987,-8.977080588718087,-29.073580228059637,,,"[None, None, None]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.333133008358665]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.333133008358665]"
2.8002257347106934,5.016029357910156,4.997203350067139,24.46837043762207,,,,2.943317054288138,-8.937878974464223,-29.073580228059637,,,"[None, None, None]","[0.0, 0.0, -29.073580228059637]","[0.4859760685196688, -1.6067176565610795, -29.073580228059637]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.073580228059637]","[0.0, 0.0, -29.073580228059637]","[0.38803380029971074, -1.282904238851029, -29.073580228059637]"
2.8502652645111084,5.016383647918701,4.996564865112305,24.46891975402832,2.710403917463739,-8.800586274639295,-29.073580228059637,2.602050073774755,-8.679426157558034,-29.073580228059637,1.8173818588256836,-7.523502349853516,"[None, None, None]","[0.5262142698295794, -1.6618535448600815, -29.073580228059637]","[0.4859760685196688, -1.6067176565610795, -29.073580228059637]","[0.5262142698295794, -1.6618535448600815, -29.073580228059637]","[0.5262142698295794, -1.6618535448600815, -29.073580228059637]","[0.5262142698295794, -1.6618535448600815, -29.073580228059637]","[0.5262142698295794, -1.6618535448600815, -29.073580228059637]","[0.8586285807431309, -2.7608705072905497, -29.073580228059637]"
2.9002342224121094,5.016737937927246,4.995883464813232,24.469511032104492,2.8008429122258374,-8.851147098350912,-29.073580228059637,2.9074780852524986,-8.814389664239878,-29.073580228059637,1.8170275688171387,-7.522863864898682,"[None, None, None]","[0.9812406419260367, -3.034837843429328, -29.073580228059637]","[0.9465393606164997, -2.987303953535681, -29.073580228059637]","[0.9812406419260367, -3.034837843429328, -29.073580228059637]","[0.9812406419260367, -3.034837843429328, -29.073580228059637]","[0.9812406419260367, -3.034837843429328, -29.073580228059637]","[0.9812406419260367, -3.034837843429328, -29.073580228059637]","[1.2061733761656634, -3.9343385618159155, -29.073580228059637]"
2.9502205848693848,5.017080307006836,4.995172023773193,24.470136642456055,2.84810273446948,-8.835169256935703,-29.092806294535748,2.5722642812757552,-8.771398492303351,-29.092806294535748,1.8166732788085938,-7.522182464599609,"[None, None, None]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.2745032413634627, -4.103872920071451, -29.073580228059637]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.2061733761656634, -3.9343385618159155, -29.073580228059637]"
3.0002248287200928,5.017328262329102,4.994604587554932,24.470632553100586,2.84810273446948,-8.835169256935703,-29.092806294535748,2.739534887731564,-8.918151968568294,-29.092806294535748,1.816330909729004,-7.52147102355957,"[None, None, None]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.6052245536021001, -5.074978902318559, -29.092806294535748]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.573773784645449, -5.103217243765943, -29.092806294535748]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.3045198207064548, -4.144986801047526, -29.092806294535748]","[1.5516767435840382, -4.944421265443475, -29.092806294535748]"
3.0502116680145264,5.017535209655762,4.994071960449219,24.471097946166992,2.7422078605977336,-8.806704155894511,-29.092806294535748,2.5037940604521713,-8.67215047414253,-29.092806294535748,1.8160829544067383,-7.520903587341309,"[None, None, None]","[1.573773784645449, -5.103217243765943, -29.092806294535748]","[1.6052245536021001, -5.074978902318559, -29.092806294535748]","[1.573773784645449, -5.103217243765943, -29.092806294535748]","[1.573773784645449, -5.103217243765943, -29.092806294535748]","[1.573773784645449, -5.103217243765943, -29.092806294535748]","[1.573773784645449, -5.103217243765943, -29.092806294535748]","[1.7873255058046265, -5.79354778370064, -29.092806294535748]"
3.100289821624756,5.0176568031311035,4.993719577789307,24.471420288085938,2.7385581660664435,-8.847912813081924,-29.17286569622783,2.816606860614267,-8.839490906337938,-29.17286569622783,1.8158760070800781,-7.520370960235596,"[None, None, None]","[1.8317853331138172, -5.946231776604766, -29.092806294535748]","[1.8594338737473992, -5.921824101881667, -29.092806294535748]","[1.8317853331138172, -5.946231776604766, -29.092806294535748]","[1.8317853331138172, -5.946231776604766, -29.092806294535748]","[1.8317853331138172, -5.946231776604766, -29.092806294535748]","[1.8317853331138172, -5.946231776604766, -29.092806294535748]","[1.9764283048641083, -6.500561879101227, -29.17286569622783]"
3.150231122970581,5.017813682556152,4.993178367614746,24.47191619873047,2.7680188287771554,-8.843944314429493,-29.17286569622783,2.5283532019487027,-8.552187288086412,-29.17286569622783,1.8157544136047363,-7.520018577575684,"[None, None, None]","[2.01347213680749, -6.627448983043919, -29.17286569622783]","[2.03778958832959, -6.606386636826875, -29.17286569622783]","[2.01347213680749, -6.627448983043919, -29.17286569622783]","[2.01347213680749, -6.627448983043919, -29.17286569622783]","[2.01347213680749, -6.627448983043919, -29.17286569622783]","[2.01347213680749, -6.627448983043919, -29.17286569622783]","[1.9764283048641083, -6.500561879101227, -29.17286569622783]"
